2026-05-27 15:28:22 | DEBUG    | browser | Downloaded: GeM-Bidding-9169004.pdf
2026-05-27 15:28:30 | DEBUG    | browser | Downloaded: GeM-Bidding-9291160.pdf
2026-05-27 15:28:40 | DEBUG    | browser | Downloaded: GeM-Bidding-9173098.pdf
2026-05-27 15:28:54 | DEBUG    | browser | Filters reset
2026-05-27 15:28:54 | INFO     | browser | Selecting filter: BOQ Bids
2026-05-27 15:29:05 | DEBUG    | browser | Downloaded: GeM-Bidding-8588460.pdf
2026-05-27 15:29:17 | DEBUG    | browser | Downloaded: GeM-Bidding-9298067.pdf
2026-05-27 15:29:26 | DEBUG    | browser | Downloaded: GeM-Bidding-9255764.pdf
2026-05-27 15:29:35 | DEBUG    | browser | Downloaded: GeM-Bidding-9125974.pdf
2026-05-27 15:30:01 | DEBUG    | browser | Downloaded: GeM-Bidding-9287239.pdf
2026-05-27 15:30:13 | DEBUG    | browser | Downloaded: GeM-Bidding-9295528.pdf
2026-05-27 15:30:25 | DEBUG    | browser | Downloaded: GeM-Bidding-9295441.pdf
2026-05-27 15:30:35 | DEBUG    | browser | Downloaded: GeM-Bidding-9295387.pdf
2026-05-27 15:30:48 | DEBUG    | browser | Downloaded: GeM-Bidding-9295299.pdf
2026-05-27 15:31:04 | DEBUG    | browser | Downloaded: GeM-Bidding-9314643.pdf
2026-05-27 15:31:22 | DEBUG    | browser | Filters reset
2026-05-27 15:31:22 | INFO     | browser | Selecting filter: Rate Contract Bids
2026-05-27 15:31:34 | DEBUG    | browser | Downloaded: GeM-Bidding-9295256.pdf
2026-05-27 15:31:43 | DEBUG    | browser | Downloaded: GeM-Bidding-9295686.pdf
2026-05-27 15:31:49 | DEBUG    | browser | Downloaded: GeM-Bidding-9271791.pdf
2026-05-27 15:31:58 | DEBUG    | browser | Downloaded: GeM-Bidding-9301536.pdf
2026-05-27 15:32:04 | DEBUG    | browser | Downloaded: GeM-Bidding-9314303.pdf
2026-05-27 15:32:12 | DEBUG    | browser | Downloaded: GeM-Bidding-9313859.pdf
2026-05-27 15:32:21 | DEBUG    | browser | Downloaded: GeM-Bidding-9321309.pdf
2026-05-27 15:32:26 | DEBUG    | browser | Downloaded: GeM-Bidding-9333908.pdf
2026-05-27 15:32:32 | DEBUG    | browser | Downloaded: GeM-Bidding-9246838.pdf
2026-05-27 15:32:42 | DEBUG    | browser | Downloaded: GeM-Bidding-9280824.pdf
2026-05-27 15:32:57 | DEBUG    | browser | Filters reset
2026-05-27 15:32:57 | INFO     | browser | Selecting filter: Global Tender
