2026-05-27 10:18:20 | DEBUG    | vector_store | Upserted 62 chunks for GEM/2025/B/6937012
2026-05-27 10:18:22 | DEBUG    | vector_store | Upserted 66 chunks for GEM/2026/B/7417029
2026-05-27 10:18:23 | DEBUG    | vector_store | Upserted 50 chunks for GEM/2026/B/7513146
2026-05-27 10:18:24 | DEBUG    | vector_store | Upserted 38 chunks for GEM/2026/B/7432560
2026-05-27 10:18:35 | DEBUG    | vector_store | Upserted 161 chunks for GEM/2026/B/7382732
2026-05-27 10:18:39 | DEBUG    | vector_store | Upserted 39 chunks for GEM/2026/B/7523628
2026-05-27 10:18:43 | DEBUG    | vector_store | Upserted 48 chunks for GEM/2026/B/7482709
2026-05-27 10:18:46 | DEBUG    | vector_store | Upserted 30 chunks for GEM/2026/B/7460256
2026-05-27 10:18:46 | INFO     | vector_store |   Indexed 70/89
2026-05-27 10:18:49 | DEBUG    | vector_store | Upserted 30 chunks for GEM/2026/B/7462785
2026-05-27 10:18:52 | DEBUG    | vector_store | Upserted 38 chunks for GEM/2026/B/7479037
2026-05-27 10:18:54 | DEBUG    | vector_store | Upserted 30 chunks for GEM/2026/B/7481350
2026-05-27 10:18:58 | DEBUG    | vector_store | Upserted 34 chunks for GEM/2026/B/7499285
2026-05-27 10:19:00 | DEBUG    | vector_store | Upserted 27 chunks for GEM/2026/B/7503480
2026-05-27 10:19:02 | DEBUG    | vector_store | Upserted 24 chunks for GEM/2026/B/7504185
2026-05-27 10:19:04 | DEBUG    | vector_store | Upserted 25 chunks for GEM/2026/B/7303430
2026-05-27 10:19:08 | DEBUG    | vector_store | Upserted 37 chunks for GEM/2026/B/7086556
2026-05-27 10:19:10 | DEBUG    | vector_store | Upserted 25 chunks for GEM/2026/B/7477050
2026-05-27 10:19:13 | DEBUG    | vector_store | Upserted 39 chunks for GEM/2026/B/7120696
2026-05-27 10:19:13 | INFO     | vector_store |   Indexed 80/89
2026-05-27 10:19:18 | DEBUG    | vector_store | Upserted 56 chunks for GEM/2025/B/6859671
2026-05-27 10:19:21 | DEBUG    | vector_store | Upserted 28 chunks for GEM/2026/B/7463
2026-05-27 10:19:23 | DEBUG    | vector_store | Upserted 32 chunks for GEM/2026/B/7460517
2026-05-27 10:19:28 | DEBUG    | vector_store | Upserted 48 chunks for GEM/2025/B/7008160
2026-05-27 10:19:30 | DEBUG    | vector_store | Upserted 34 chunks for GEM/2025/B/7021779
2026-05-27 10:19:34 | DEBUG    | vector_store | Upserted 52 chunks for GEM/2026/B/7465610
2026-05-27 10:19:38 | DEBUG    | vector_store | Upserted 42 chunks for GEM/2025/B/6996014
2026-05-27 10:19:41 | DEBUG    | vector_store | Upserted 39 chunks for GEM/2026/B/7502063
2026-05-27 10:19:45 | DEBUG    | vector_store | Upserted 51 chunks for GEM/2026/B/7306031
2026-05-27 10:19:45 | INFO     | vector_store | Vector store upsert complete — total chunks: 3699
2026-05-27 10:19:45 | INFO     | vector_store | Re-index complete.
2026-05-27 10:29:18 | INFO     | vector_store | ChromaDB ready — collection 'gem_bids' (3699 chunks)
2026-05-27 10:31:29 | INFO     | vector_store | Starting full re-index from SQLite...
2026-05-27 10:31:29 | INFO     | vector_store | Upserting 89 bids into vector store...
2026-05-27 10:31:30 | INFO     | vector_store | ChromaDB ready — collection 'gem_bids' (3699 chunks)
